fill	count	xmin	xmax	density	ncount	ndensity	showSelected1	ymin	ymax
#F8766D	0	9.13888888888889	11.75	0	0	0	4	0	0
#00BA38	0	9.13888888888889	11.75	0	0	0	6	0	0
#619CFF	2	9.13888888888889	11.75	0.0547112462006079	0.285714285714286	10.4444444444444	8	0	2
#F8766D	0	11.75	14.3611111111111	0	0	0	4	0	0
#00BA38	0	11.75	14.3611111111111	0	0	0	6	0	0
#619CFF	2	11.75	14.3611111111111	0.0547112462006079	0.285714285714286	10.4444444444444	8	0	2
#F8766D	0	14.3611111111111	16.9722222222222	0	0	0	4	0	0
#00BA38	0	14.3611111111111	16.9722222222222	0	0	0	6	0	0
#619CFF	7	14.3611111111111	16.9722222222222	0.191489361702128	1	36.5555555555556	8	0	7
#F8766D	0	16.9722222222222	19.5833333333333	0	0	0	4	0	0
#00BA38	3	16.9722222222222	19.5833333333333	0.164133738601824	0.75	13.7083333333333	6	0	3
#619CFF	3	16.9722222222222	19.5833333333333	0.0820668693009118	0.428571428571429	15.6666666666667	8	3	6
#F8766D	2	19.5833333333333	22.1944444444444	0.0696324951644102	0.666666666666667	19.1481481481481	4	0	2
#00BA38	4	19.5833333333333	22.1944444444444	0.218844984802432	1	18.2777777777778	6	2	6
#619CFF	0	19.5833333333333	22.1944444444444	0	0	0	8	6	6
#F8766D	3	22.1944444444444	24.8055555555556	0.104448742746615	1	28.7222222222222	4	0	3
#00BA38	0	22.1944444444444	24.8055555555556	0	0	0	6	3	3
#619CFF	0	22.1944444444444	24.8055555555556	0	0	0	8	3	3
#F8766D	2	24.8055555555556	27.4166666666667	0.0696324951644101	0.666666666666667	19.1481481481481	4	0	2
#00BA38	0	24.8055555555556	27.4166666666667	0	0	0	6	2	2
#619CFF	0	24.8055555555556	27.4166666666667	0	0	0	8	2	2
#F8766D	0	27.4166666666667	30.0277777777778	0	0	0	4	0	0
#00BA38	0	27.4166666666667	30.0277777777778	0	0	0	6	0	0
#619CFF	0	27.4166666666667	30.0277777777778	0	0	0	8	0	0
#F8766D	3	30.0277777777778	32.6388888888889	0.104448742746615	1	28.7222222222222	4	0	3
#00BA38	0	30.0277777777778	32.6388888888889	0	0	0	6	3	3
#619CFF	0	30.0277777777778	32.6388888888889	0	0	0	8	3	3
#F8766D	1	32.6388888888889	35.25	0.034816247582205	0.333333333333333	9.57407407407406	4	0	1
#00BA38	0	32.6388888888889	35.25	0	0	0	6	1	1
#619CFF	0	32.6388888888889	35.25	0	0	0	8	1	1
